RecID,InstAbbr,InstName,InstPlace,InstLand,NumberEntry,NameArchiveSet,ArchivePart,Specification,LogbookIdent,LogbookLanguage,EnteredBy,DASnumber,ImageNumber,VoyageFrom,VoyageTo,ShipName,ShipType,Company,OtherShipInformation,Nationality,Name1,Rank1,Name2,Rank2,Name3,Rank3,ZeroMeridian,StartDay,TimeGen,ObsGen,ReferenceCourse,ReferenceWindDirection,DistUnits,DistToLandmarkUnits,DistTravelledUnits,LongitudeUnits,VoyageIni,UnitsOfMeasurement,Calendar,Year,Month,Day,DayOfTheWeek,PartDay,TimeOB,Watch,Glasses,UTC,CMG,ShipSpeed,Distance,drLatDeg,drLatMin,drLatSec,drLatHem,drLongDeg,drLongMin,drLongSec,drLongHem,LatDeg,LatMin,LatSec,LatHem,LongDeg,LongMin,LongSec,LongHem,Lat3,Lon3,LatInd,LonInd,PosCoastal,EncName,EncNat,EncRem,Anchored,AnchorPlace,LMname1,LMdirection1,LMdistance1,LMname2,LMdirection2,LMdistance2,LMname3,LMdirection3,LMdistance3,EstError,ApplError,WindDirection,AllWindDirections,WindForce,WindForceScale,AllWindForces,WindScale,Weather,ShapeClouds,DirClouds,Clearness,PrecipitationDescriptor,CloudFrac,Gusts,Rain,Fog,Snow,Thunder,Hail,SeaIce,Duplicate,Release,SSTReading,SSTReadingUnits,StateSea,CurrentDir,CurrentSpeed,TairReading,AirThermReadingUnits,ProbTair,BaroReading,AirPressureReadingUnits,BarometerType,BarTempReading,BarTempReadingUnits,HumReading,HumidityUnits,HumidityMethod,PumpWater,WaterAtThePumpUnits,LifeOnBoard,LifeOnBoardMemo,Cargo,CargoMemo,ShipAndRig,ShipAndRigMemo,Biology,BiologyMemo,WarsAndFights,WarsAndFightsMemo,Illustrations,TrivialCorrection,OtherRem
15167,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,2,Saturday,,12,,NA,1771030210,S60W,NA,80,30,21,0,S,321,46,0,W,NA,NA,NA,,324,46,0,W,-30.35,35.2333,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,,,little wind,NA,"first part fresh gales, remainder little wind",,,,,first part cloudy,some showers of rain,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,sea from the SW,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15168,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,3,Sunday,,12,,NA,1771030310,S58:15W,NA,76,31,1,0,S,323,2,0,W,NA,NA,NA,,326,2,0,W,-31.0167,33.9667,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,NE,NE,gentle gales,NA,"first part little wind, remainder gentle gales",,,,,clear,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,sea pretty smooth,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15169,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,4,Monday,,12,,NA,1771030410,S67:45W,NA,87,31,34,0,S,324,36,0,W,NA,NA,NA,,327,36,0,W,-31.5667,32.4,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,SW,NE. SW,breezes,NA,"had a moderate breeze, 4am fell calm, soon after breezes sprung up at SW",,,,,eve and most part of the night dark and cloudy,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15170,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,5,Tuesday,,12,,NA,1771030510,N31W,NA,32,31,52,0,S,324,56,0,W,31,7,0,S,331,19,0,W,-31.1167,28.6833,2,2,0,,,,0,,,,NA,,,NA,,,NA,,,SE,SSW-SE,fresh gales,NA,"fresh gales from SW, squally",,,,,hazy,rainy,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15171,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,6,Wednesday,,12,,NA,1771030610,S54E,NA,37,32,4,0,S,323,26,0,W,NA,NA,NA,,330,44,0,W,-32.0667,29.2667,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,S,S,moderate gales,NA,moderate gales,,,,,hazy,rainy,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,S,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15172,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,7,Thursday,,12,,NA,1771030710,S56:15W,NA,72,32,54,0,S,323,54,0,W,NA,NA,NA,,331,56,0,W,-32.9,28.0667,1,2,0,,,,0,,land,N ,8,,,NA,,,NA,,,SEbS,SWbS-SEbS,light breeze,NA,light breeze,,,,,cloudy and hazy,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15173,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,8,Friday,,12,,NA,1771030810,S39 1/2,NA,109,34,19,0,S,324,23,0,W,NA,NA,NA,,333,19,0,W,-34.3167,26.6833,1,2,0,,,,0,,land,NNE - WbN,8,,,NA,,,NA,,,E,S and E,fresh breezes,NA,fresh breezes,,,,,,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15174,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,9,Saturday,,12,,NA,1771030910,S65W,NA,210,35,44,0,S,326,53,0,W,NA,NA,NA,,337,6,0,W,-35.7333,22.9,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,E,S and E,little wind,NA,"steady fresh gales, noon little wind",,,,,"settled, noon clear",,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15175,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,10,Sunday,,12,,NA,1771031010,N17:15W,NA,55,34,52,0,S,327,12,0,W,NA,NA,NA,,337,25,0,W,-34.8667,22.5833,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,W,NE. W,calm,NA,"light breeze, then calm",,,,,,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
15176,,,,United Kingdom,,,,,Beaglehole C4752,English,Simon Bailey,NA,,Java,Cape of Good Hope,Endeavour,Bark,RN,"6x6+8 swivel, 366 1/2bm",British,James Cook,Captain,,,,,Greenwich,12,,,Unknown,Unknown,Unknown,Leagues,nm,360 degrees,17710117,standard,2,1771,3,11,Monday,,12,,NA,1771031111,N85W,NA,79,34,45,0,S,328,35,0,W,NA,NA,NA,,338,48,0,W,-34.75,21.2,1,2,0,,,,0,,,,NA,,,NA,,,NA,,,SE,NE. W. SE,fresh gales,NA,"first light airs, remainder fresh gales",,,,,,,NA,0,0,0,0,0,0,0,0,CLIWOC Version 1.0,NA,,,,,NA,,NA,NA,,,NA,,NA,,,NA,,0,,0,,0,,0,,0,,0,0,
